Unnamed: 0,Slug,Stars,Forks,Watcher,Issue,PullRequest,Release,DiskUsage,member_number,create_time,commit_number,Donations,isDonated,existTime,hasTwitter
0,11ty,27099,2500,470,815,112,159,362940,749,2019-04-01T15:27:06.913Z,14045,204461.0,1.0,67.0,0
1,abap-observability-tools,58,12,13,46,15,8,28814,6,2021-02-20T15:11:16.450Z,307,309.0,1.0,45.0,0
2,abhijithvijayan,2728,279,47,34,42,50,31549,2,2020-05-20T05:00:35.699Z,1448,0.0,0.0,54.0,0
3,abotv12,272,278,10,36,3,1,710,1,2021-09-25T06:36:11.866Z,185,0.0,0.0,38.0,0
4,accounts-js,1495,142,30,50,14,99,18092,10,2018-02-01T17:20:26.329Z,1662,570.0,1.0,81.0,1
5,acmesh,38488,4894,491,1000,239,41,6470,47,2019-09-02T02:31:35.973Z,3110,4320.0,1.0,62.0,0
6,actionshub,47,11,6,2,3,25,62,4,2023-01-16T02:49:34.723Z,67,110.0,1.0,22.0,0
7,activitywatch,13418,1180,247,402,159,94,187781,40,2017-11-21T15:45:14.793Z,6796,6207.0,1.0,84.0,1
8,actual,16681,1678,73,133,37,29,142295,91,2023-06-15T18:38:59.078Z,2153,4614.0,1.0,17.0,0
9,actuallycolab,12,1,3,72,0,2,6632,4,2021-04-20T14:39:41.039Z,760,10.0,1.0,43.0,0
10,advanced-java,11,4,1,0,0,0,5224,1,2019-06-06T09:07:49.109Z,268,0.0,0.0,65.0,0
11,advancedfx,616,131,43,7,0,507,13174,50,2019-09-10T07:17:20.550Z,1882,4431.0,1.0,62.0,0
12,aedes,1858,307,94,74,31,195,1659,12,2020-02-06T14:17:47.707Z,1527,176.0,1.0,57.0,0
13,aeria-org,68,1,3,6,0,1029,5320,1,2024-03-02T20:44:52.795Z,1062,0.0,0.0,8.0,0
14,aes-everywhere,478,169,25,10,0,2,930,1,2020-11-20T20:40:35.818Z,196,0.0,0.0,48.0,0
15,agroecology-map,11,1,3,0,0,0,13043,4,2021-11-19T11:42:07.448Z,592,0.0,1.0,36.0,1
16,ainsley,10,3,5,0,0,21,14026,1,2020-03-18T23:18:32.279Z,201,0.0,0.0,56.0,0
17,aiogram,4591,832,104,17,7,78,9491,50,2019-05-24T06:43:26.159Z,2059,1448.0,1.0,66.0,0
18,airform,454,27,10,18,14,2,3440,2,2019-09-27T16:34:28.337Z,57,0.0,0.0,62.0,0
19,ajv,14172,977,125,325,72,211,36515,56,2019-07-09T14:43:29.604Z,2842,47435.0,1.0,64.0,0
20,ajv-typescript,39,2,2,2,1,20,401,1,2023-09-29T13:14:27.040Z,63,0.0,0.0,14.0,0
21,alan-binu007,1196,663,170,1,29,61,98946,1,2021-09-13T18:03:01.983Z,2194,0.0,0.0,38.0,0
22,alexhua,816,67,7,8,0,42,5490,2,2023-03-03T11:30:24.360Z,219,0.0,0.0,20.0,0
23,algorithm,217,59,40,0,0,0,19279,1,2019-11-12T18:25:57.544Z,1837,0.0,0.0,60.0,0
24,alicebot,138,13,4,1,0,0,2578,2,2024-03-18T07:34:59.372Z,351,0.0,0.0,8.0,0
25,alins,82,4,2,3,0,30,8036,1,2023-09-11T11:36:07.519Z,452,0.0,0.0,14.0,0
26,allthingslinux,79,22,6,80,4,0,10763,19,2024-06-10T17:36:44.813Z,1457,415.0,1.0,5.0,0
27,allure-report,4066,702,145,129,11,71,14313,33,2017-07-11T14:56:04.775Z,1170,3539.0,1.0,88.0,0
28,almalinux-os-foundation,1196,704,170,190,22,8,20088951,13,2022-02-01T03:10:33.001Z,3239,769.0,1.0,33.0,0
29,alosaur,811,48,24,24,0,70,975,7,2020-11-03T08:24:41.723Z,678,1140.0,1.0,48.0,0
30,alova,2684,93,18,9,2,253,21657,4,2023-08-18T03:10:41.302Z,1527,147.0,1.0,15.0,0
31,altair,5099,316,40,29,13,191,59593,190,2018-01-11T12:51:46.207Z,5970,6573.0,1.0,82.0,1
32,alvr,5239,471,84,111,13,91,41975,97,2020-12-29T17:39:01.457Z,2896,3901.0,1.0,47.0,0
33,ambition-fund,38,11,9,5,27,16,44918,1,2020-06-21T04:22:53.826Z,842,0.0,0.0,53.0,1
34,amethyst,10416,980,248,127,22,29,63842,26,2018-11-23T01:43:56.487Z,7322,17110.0,1.0,72.0,0
35,amogos,1606,76,15,15,1,17,7753,17,2021-07-23T03:05:12.577Z,268,89.0,1.0,40.0,0
36,amplifying-fsharp,13,6,4,3,1,0,37345,62,2024-02-21T19:13:26.073Z,752,11112.0,1.0,9.0,0
37,analysis-tools,14122,1459,358,9,17,0,77718,15,2020-05-22T15:04:47.339Z,2539,25945.0,1.0,54.0,0
38,android-file-chooser,284,62,14,19,0,0,2329,1,2019-05-31T02:19:52.732Z,426,0.0,0.0,66.0,0
39,androidlocalizeplugin,582,91,6,24,9,15,21964,5,2021-06-07T02:13:23.817Z,295,65.0,1.0,41.0,0
40,angolaosc,55,43,2,14,6,0,10890,3,2024-08-04T19:15:43.698Z,247,0.0,0.0,3.0,0
41,anichartjs,1056,157,15,3,0,10,2813,1,2021-08-12T11:55:13.619Z,784,0.0,0.0,39.0,0
42,anndatar,53,8,9,19,15,0,1020,5,2024-04-23T13:30:01.251Z,337,75611.0,1.0,7.0,0
43,anonaddy,3416,210,44,37,1,83,22683,12,2021-01-28T13:11:25.482Z,668,103.0,1.0,46.0,1
44,anonydog,145,6,4,9,3,0,777,1,2017-11-09T12:46:46.788Z,190,0.0,0.0,84.0,1
45,anonymousplanetorg,355,40,12,7,0,1,416130,3,2022-11-06T00:46:25.581Z,359,0.0,0.0,24.0,0
