Slug,Base,-6-Commit,-6-Issue,-6-Spend,-6-Sponsor,-5-Commit,-5-Issue,-5-Spend,-5-Sponsor,-4-Commit,-4-Issue,-4-Spend,-4-Sponsor,-3-Commit,-3-Issue,-3-Spend,-3-Sponsor,-2-Commit,-2-Issue,-2-Spend,-2-Sponsor,-1-Commit,-1-Issue,-1-Spend,-1-Sponsor,0-Commit,0-Issue,0-Spend,0-Sponsor,1-Commit,1-Issue,1-Spend,1-Sponsor,2-Commit,2-Issue,2-Spend,2-Sponsor,3-Commit,3-Issue,3-Spend,3-Sponsor,4-Commit,4-Issue,4-Spend,4-Sponsor,5-Commit,5-Issue,5-Spend,5-Sponsor,6-Commit,6-Issue,6-Spend,6-Sponsor
pytest,2023-02,36,9,14,14,30,8,14,14,124,10,14,15,54,10,14,14,25,12,14,14,32,9,14,14,30,7,13,13,31,14,14,14,57,5,13,13,58,10,13,13,127,10,15,15,101,14,11,11,89,15,11,11
basescript,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pixi-viewport,2023-04,7,0,0,0,19,1,0,0,2,3,0,0,14,5,0,0,14,2,0,0,5,2,0,0,0,2,1,1,0,1,0,0,0,2,0,0,0,3,0,0,6,3,0,0,2,4,0,0,2,4,0,0
gramaddict,2023-02,3,0,5,5,0,1,4,4,0,0,3,3,0,0,2,2,0,1,2,2,0,4,1,1,0,0,1,1,8,3,1,1,2,5,1,1,1,2,1,1,0,0,1,1,16,1,2,2,0,3,4,4
radareorg,2023-02,18,1,2,2,39,0,2,2,55,2,2,2,45,7,2,2,54,6,2,2,25,4,2,2,25,2,3,3,42,4,2,2,28,0,2,2,20,0,2,2,57,1,2,2,30,0,2,2,34,0,2,2
mcbedrock,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
webdriverio,2023-02,138,0,9,9,91,2,11,11,116,0,9,9,152,1,10,10,58,0,9,9,61,1,9,9,172,5,8,8,131,1,9,9,113,1,13,11,158,1,10,10,118,2,10,10,149,0,10,10,138,0,10,10
glpi-project,2023-08,96,8,0,0,124,1,0,0,81,4,0,0,89,5,0,0,128,6,0,0,106,7,0,0,53,3,0,0,99,4,0,0,89,9,0,0,77,7,0,0,60,3,0,0,67,8,0,0,45,6,0,0
creevey,2023-02,4,1,1,1,13,1,1,1,4,0,1,1,8,1,1,1,7,1,1,1,6,1,1,1,7,0,1,1,1,1,1,1,2,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dlang,2023-02,5,1,13,12,2,0,10,10,24,5,13,12,4,0,14,13,6,2,14,11,9,0,16,11,9,1,15,13,0,1,13,12,9,0,12,12,6,0,12,12,13,1,15,14,3,3,11,11,3,0,10,10
weblate,2023-02,79,0,1,2,98,0,1,3,101,0,1,2,84,1,1,2,202,6,3,2,324,0,2,1,160,1,2,1,178,1,2,1,229,0,2,1,158,0,4,2,162,0,3,1,183,1,5,4,129,0,4,3
