Slug,Base,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
pixi-viewport,2023-04,0,1,3,5,2,2,2,1,2,3,3,4,4
mingyaulee-gh,2023-10,0,0,0,0,0,0,0,0,0,0,0,0,0
odiff,2023-03,0,0,0,1,1,0,0,0,0,0,1,0,0
keyviz,2023-03,1,0,0,1,0,1,1,2,1,1,3,0,1
nestia,2023-02,0,0,0,0,2,0,0,0,1,1,5,1,1
decap,2024-02,2,3,1,10,4,8,11,11,7,7,4,1,4
kaetram,2023-10,0,0,0,0,0,0,0,0,0,0,0,0,0
whisparr,2023-09,3,1,2,1,4,3,3,4,1,3,1,6,11
levilamina,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
cspell,2023-02,6,6,1,0,1,1,7,2,2,1,3,1,3
mapstruct,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
centrifugal,2024-01,0,0,0,0,0,0,0,0,0,0,0,0,0
substitute-js,2024-02,0,0,0,0,0,0,0,1,0,0,0,0,0
zxingnet,2024-02,0,2,0,0,0,1,4,6,3,2,4,2,0
datarhei,2023-04,3,6,3,2,7,8,6,3,4,9,4,6,5
rustmagazine,2023-10,1,2,0,0,1,1,0,1,0,0,0,0,0
mellium,2023-08,0,1,0,0,0,0,0,0,0,0,0,0,0
webpack-merge,2023-06,0,0,0,0,0,0,0,0,0,0,0,0,0
robostack,2023-04,1,0,1,1,0,3,1,1,2,1,4,1,0
gdm-settings,2023-08,1,0,0,0,0,1,0,1,3,2,0,5,1
plotsjl,2023-06,12,12,13,11,6,7,21,10,15,6,11,7,4
nodejs-mobile,2023-09,1,2,1,5,1,2,1,6,0,3,0,1,5
beercss,2023-04,0,0,0,0,0,0,0,0,0,2,0,2,1
urql-graphql,2023-04,1,0,0,0,0,3,1,0,0,2,0,0,2
univer,2023-12,0,1,0,0,0,1,2,7,1,7,24,3,12
lycheeorg,2024-02,0,0,0,0,0,0,0,0,0,0,0,0,0
flutter_html,2023-12,16,12,13,10,7,5,7,6,3,1,2,7,0
iotsharp,2023-04,0,1,2,1,1,2,0,2,0,1,1,2,0
doocs-leetcode,2024-02,0,0,0,0,0,0,0,1,0,0,1,4,2
dyrectorio-platform,2023-05,0,0,0,0,1,2,10,0,0,1,2,3,0
goravel,2023-10,1,2,2,1,3,2,5,1,1,2,0,5,2
vite,2023-02,25,18,27,31,18,19,19,23,23,16,25,21,26
vox-pupuli,2023-03,3,3,1,0,4,6,5,5,8,4,6,5,11
portmaster,2024-02,0,0,0,0,0,0,0,0,2,0,1,3,4
react-play,2023-03,0,0,0,0,0,0,0,0,0,0,0,0,0
wearedotnet,2023-04,0,0,0,0,0,0,0,0,0,0,0,0,0
tech-interview-handbook,2023-09,0,2,0,0,2,1,4,1,1,1,4,3,0
moonshine,2023-06,0,0,0,0,0,0,0,0,0,0,0,0,0
openandroidinstaller,2023-08,6,9,1,2,2,14,15,21,10,10,8,12,11
commitizen-tools,2023-03,0,0,0,0,0,0,0,0,0,0,0,0,0
cheton,2023-08,0,2,5,0,0,0,0,1,1,1,0,1,0
jsprimer,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
rrweb,2023-04,6,5,4,7,7,12,3,8,6,9,9,12,10
mun,2023-05,1,0,4,0,0,0,0,1,1,0,0,2,0
rspack,2023-05,0,0,0,0,1,1,1,6,1,2,2,7,1
anonaddy,2023-02,0,0,0,0,0,1,0,2,1,1,2,1,2
opensourcestories,2024-01,0,2,0,0,0,0,0,0,0,0,0,0,0
portable-ascii,2023-12,0,0,0,0,0,0,0,0,0,0,0,0,0
httparchive,2023-02,1,1,0,0,1,0,0,0,0,1,0,0,0
inure,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
goinception,2023-10,1,2,2,4,8,2,7,5,3,3,2,2,4
mobx-react-form,2023-07,0,0,0,0,1,0,0,0,0,0,0,0,0
vitest,2023-03,7,4,3,2,3,11,7,3,5,13,15,19,13
kube-hetzner,2023-04,0,0,0,0,0,0,0,0,0,0,0,0,0
mongoke,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
komapper,2023-02,0,0,0,0,0,0,0,0,1,1,0,0,0
git-history,2023-03,0,0,0,1,1,1,0,0,0,2,1,1,1
smw,2023-12,1,2,0,0,1,0,0,3,0,2,0,0,1
sktime,2023-07,35,18,24,24,26,37,50,36,28,33,14,16,29
lowdefy-os,2023-08,1,3,0,0,1,0,1,0,0,0,0,0,0
listr2,2023-04,0,0,0,0,0,0,0,0,0,0,0,0,0
kuma-ui,2023-08,0,0,1,0,2,5,0,8,2,2,1,1,0
mapeo,2023-09,0,0,0,5,2,3,4,2,0,0,0,0,0
excalibur,2023-09,2,0,0,1,1,0,0,0,1,0,1,1,0
go-callvis,2023-04,4,2,5,1,1,2,0,5,1,1,1,1,0
babybuddy,2023-08,0,2,1,1,0,3,1,1,2,1,1,4,6
sern,2023-08,0,0,0,0,1,0,0,1,0,0,0,0,0
vue3-sfc-loader,2024-01,0,0,0,0,0,0,0,0,0,1,0,1,1
panda-wallet,2023-11,0,0,0,0,0,10,11,6,4,1,3,0,9
suneditor,2023-03,8,9,6,5,2,7,10,6,3,6,1,10,9
apiato,2023-11,0,2,0,0,0,0,0,0,3,4,2,0,0
filestash,2023-02,2,1,6,5,3,3,5,5,7,8,5,4,5
emacs-jupyter,2023-10,2,7,7,4,3,0,6,3,2,0,6,1,5
cadmium,2023-04,0,0,0,0,0,0,0,0,0,0,0,0,0
fastify,2023-11,14,19,17,23,14,24,23,19,27,18,29,30,30
whatsie,2023-02,0,5,0,2,0,1,3,4,1,3,6,1,2
cloudflare-dyns,2023-06,0,0,0,0,0,0,0,0,0,0,0,0,0
lobehub,2023-12,0,2,4,18,15,16,48,43,29,51,82,84,84
biome,2023-08,0,0,0,0,0,0,2,3,2,4,4,9,6
dryer,2023-12,0,0,0,0,1,4,0,1,0,1,0,0,0
stardust-xr,2023-06,0,1,0,8,0,0,0,0,0,0,0,0,0
phoenix-ide,2023-07,18,8,8,3,3,2,2,1,0,2,5,11,11
homepage,2024-02,0,0,0,0,0,0,0,0,0,0,0,0,0
react95,2023-04,0,0,0,0,0,0,0,0,0,0,0,0,0
sudo-project,2023-04,2,1,0,0,0,1,0,1,0,0,2,1,0
userstyles,2023-07,0,0,1,1,6,7,4,1,2,0,5,7,1
graphql-voyager,2023-07,1,0,2,3,0,0,2,3,3,1,1,2,1
planby,2023-04,0,0,0,0,0,1,0,0,0,0,0,0,0
overte,2023-03,10,17,12,16,4,11,8,6,19,22,12,37,19
ronin-rb,2023-09,3,1,2,0,0,3,2,1,6,3,0,0,6
sceneview,2023-10,0,0,0,0,0,0,0,0,0,0,0,1,1
simplcommerce,2024-02,0,0,0,1,1,7,2,1,0,1,2,0,0
