slug,index,Intervention,Time_after_intervention,commits_count,comments,amounts
100devs,-6,0,0,0,0,0
100devs,-5,0,0,0,0,0
100devs,-4,0,0,0,0,0
100devs,-3,0,0,0,0,0
100devs,-2,0,0,0,0,0
100devs,-1,0,0,0,0,0
100devs,0,1,0,11,0,1
100devs,1,1,1,53,14,60
100devs,2,1,2,3,1,1
100devs,3,1,3,10,0,20
100devs,4,1,4,2,0,1
100devs,5,1,5,1,4,6
100devs,6,1,6,0,0,0
AccelAI,-6,0,0,17,0,0
AccelAI,-5,0,0,73,0,0
AccelAI,-4,0,0,8,0,0
AccelAI,-3,0,0,6,0,0
AccelAI,-2,0,0,0,0,0
AccelAI,-1,0,0,0,0,0
AccelAI,0,1,0,0,0,1
AccelAI,1,1,1,0,0,0
AccelAI,2,1,2,0,0,0
AccelAI,3,1,3,0,0,0
AccelAI,4,1,4,0,1,1
AccelAI,5,1,5,0,0,0
AccelAI,6,1,6,0,0,0
AcheronProject,-6,0,0,19,0,0
AcheronProject,-5,0,0,2,0,0
AcheronProject,-4,0,0,19,0,0
AcheronProject,-3,0,0,52,0,0
AcheronProject,-2,0,0,25,0,0
AcheronProject,-1,0,0,8,0,0
AcheronProject,0,1,0,0,0,1
AcheronProject,1,1,1,6,0,0
AcheronProject,2,1,2,5,0,0
AcheronProject,3,1,3,31,0,0
AcheronProject,4,1,4,10,0,0
AcheronProject,5,1,5,18,0,0
AcheronProject,6,1,6,2,0,0
Aletheia-Data,-6,0,0,0,0,0
Aletheia-Data,-5,0,0,0,0,0
Aletheia-Data,-4,0,0,0,0,0
Aletheia-Data,-3,0,0,0,0,0
Aletheia-Data,-2,0,0,0,0,0
Aletheia-Data,-1,0,0,0,0,0
Aletheia-Data,0,1,0,40,0,3
Aletheia-Data,1,1,1,22,0,0
Aletheia-Data,2,1,2,5,0,0
Aletheia-Data,3,1,3,10,3,17
Aletheia-Data,4,1,4,0,0,0
Aletheia-Data,5,1,5,0,0,4
Aletheia-Data,6,1,6,39,0,1
AlmaLinux,-6,0,0,0,0,0
AlmaLinux,-5,0,0,0,0,0
AlmaLinux,-4,0,0,19,0,0
AlmaLinux,-3,0,0,0,0,0
AlmaLinux,-2,0,0,0,0,0
AlmaLinux,-1,0,0,1,0,0
AlmaLinux,0,1,0,0,0,1
AlmaLinux,1,1,1,7,0,2
AlmaLinux,2,1,2,6,0,0
AlmaLinux,3,1,3,26,0,6
AlmaLinux,4,1,4,58,0,0
AlmaLinux,5,1,5,15,2,1
AlmaLinux,6,1,6,16,0,0
BRL-CAD,-6,0,0,13,0,0
BRL-CAD,-5,0,0,1,0,0
BRL-CAD,-4,0,0,17,0,0
BRL-CAD,-3,0,0,0,0,0
BRL-CAD,-2,0,0,0,0,0
BRL-CAD,-1,0,0,29,0,0
BRL-CAD,0,1,0,3,0,3
BRL-CAD,1,1,1,0,0,1
BRL-CAD,2,1,2,0,0,0
BRL-CAD,3,1,3,0,0,0
BRL-CAD,4,1,4,6,0,0
BRL-CAD,5,1,5,29,0,0
BRL-CAD,6,1,6,2,0,0
BioJulia,-6,0,0,6,0,0
BioJulia,-5,0,0,0,0,0
BioJulia,-4,0,0,15,0,0
BioJulia,-3,0,0,0,0,0
BioJulia,-2,0,0,0,0,0
BioJulia,-1,0,0,0,0,0
BioJulia,0,1,0,0,0,1
BioJulia,1,1,1,24,0,0
BioJulia,2,1,2,14,0,0
BioJulia,3,1,3,0,0,3
BioJulia,4,1,4,2,0,0
BioJulia,5,1,5,1,0,1
BioJulia,6,1,6,1,0,0
BirthdayResearch,-6,0,0,15,0,0
BirthdayResearch,-5,0,0,4,0,0
BirthdayResearch,-4,0,0,8,0,0
BirthdayResearch,-3,0,0,5,0,0
BirthdayResearch,-2,0,0,11,0,0
BirthdayResearch,-1,0,0,2,0,0
BirthdayResearch,0,1,0,9,1,2
BirthdayResearch,1,1,1,0,0,0
BirthdayResearch,2,1,2,2,0,0
BirthdayResearch,3,1,3,25,26,17
BirthdayResearch,4,1,4,61,0,0
BirthdayResearch,5,1,5,9,1,5
BirthdayResearch,6,1,6,6,0,1
BusKill,-6,0,0,1,0,0
BusKill,-5,0,0,13,0,0
BusKill,-4,0,0,2,0,0
BusKill,-3,0,0,80,0,0
BusKill,-2,0,0,10,0,0
BusKill,-1,0,0,6,0,0
BusKill,0,1,0,0,126,1
BusKill,1,1,1,0,0,0
BusKill,2,1,2,0,0,0
BusKill,3,1,3,0,0,0
BusKill,4,1,4,0,0,0
BusKill,5,1,5,0,0,0
BusKill,6,1,6,0,0,0
CirclesUBI,-6,0,0,0,0,0
CirclesUBI,-5,0,0,10,0,0
CirclesUBI,-4,0,0,32,0,0
CirclesUBI,-3,0,0,11,0,0
CirclesUBI,-2,0,0,25,0,0
CirclesUBI,-1,0,0,0,0,0
CirclesUBI,0,1,0,0,34,3
CirclesUBI,1,1,1,3,2,1
CirclesUBI,2,1,2,0,1,1
CirclesUBI,3,1,3,0,0,0
CirclesUBI,4,1,4,0,0,0
CirclesUBI,5,1,5,0,0,0
CirclesUBI,6,1,6,32,0,0
CircuitVerse,-6,0,0,0,0,0
CircuitVerse,-5,0,0,0,0,0
CircuitVerse,-4,0,0,0,0,0
CircuitVerse,-3,0,0,0,0,0
CircuitVerse,-2,0,0,3,0,0
CircuitVerse,-1,0,0,5,0,0
CircuitVerse,0,1,0,6,0,1
CircuitVerse,1,1,1,6,0,0
CircuitVerse,2,1,2,2,0,1
CircuitVerse,3,1,3,1,0,0
CircuitVerse,4,1,4,19,6,1
CircuitVerse,5,1,5,23,42,8
CircuitVerse,6,1,6,28,19,6
ClimateMind,-6,0,0,10,0,0
ClimateMind,-5,0,0,1,0,0
ClimateMind,-4,0,0,15,0,0
ClimateMind,-3,0,0,13,0,0
ClimateMind,-2,0,0,7,0,0
ClimateMind,-1,0,0,9,0,0
ClimateMind,0,1,0,4,1,3
ClimateMind,1,1,1,3,0,0
ClimateMind,2,1,2,1,0,0
ClimateMind,3,1,3,1,0,0
ClimateMind,4,1,4,17,0,0
ClimateMind,5,1,5,1,0,0
ClimateMind,6,1,6,0,0,0
Cloudbox,-6,0,0,18,0,0
Cloudbox,-5,0,0,3,0,0
Cloudbox,-4,0,0,13,0,0
Cloudbox,-3,0,0,13,0,0
Cloudbox,-2,0,0,7,0,0
Cloudbox,-1,0,0,1,0,0
Cloudbox,0,1,0,0,0,1
Cloudbox,1,1,1,1,0,0
Cloudbox,2,1,2,16,0,0
Cloudbox,3,1,3,0,0,0
Cloudbox,4,1,4,0,0,0
Cloudbox,5,1,5,0,0,0
Cloudbox,6,1,6,0,0,0
CodeWithAloha,-6,0,0,0,0,0
CodeWithAloha,-5,0,0,0,0,0
CodeWithAloha,-4,0,0,26,0,0
CodeWithAloha,-3,0,0,8,0,0
CodeWithAloha,-2,0,0,30,0,0
CodeWithAloha,-1,0,0,7,0,0
CodeWithAloha,0,1,0,26,0,1
CodeWithAloha,1,1,1,0,1,2
CodeWithAloha,2,1,2,16,2,2
CodeWithAloha,3,1,3,10,0,1
CodeWithAloha,4,1,4,7,0,0
CodeWithAloha,5,1,5,10,0,0
CodeWithAloha,6,1,6,23,1,3
DeepWTO,-6,0,0,0,0,0
DeepWTO,-5,0,0,0,0,0
DeepWTO,-4,0,0,0,0,0
DeepWTO,-3,0,0,0,0,0
DeepWTO,-2,0,0,0,0,0
DeepWTO,-1,0,0,60,0,0
DeepWTO,0,1,0,69,1,3
DeepWTO,1,1,1,6,0,0
DeepWTO,2,1,2,0,0,0
DeepWTO,3,1,3,0,0,1
DeepWTO,4,1,4,0,0,0
DeepWTO,5,1,5,0,0,0
DeepWTO,6,1,6,1,0,1
DigitalBiomarkerDiscoveryPipeline,-6,0,0,43,0,0
DigitalBiomarkerDiscoveryPipeline,-5,0,0,16,0,0
DigitalBiomarkerDiscoveryPipeline,-4,0,0,18,0,0
DigitalBiomarkerDiscoveryPipeline,-3,0,0,42,0,0
DigitalBiomarkerDiscoveryPipeline,-2,0,0,7,0,0
DigitalBiomarkerDiscoveryPipeline,-1,0,0,7,0,0
DigitalBiomarkerDiscoveryPipeline,0,1,0,4,0,13
DigitalBiomarkerDiscoveryPipeline,1,1,1,12,0,0
DigitalBiomarkerDiscoveryPipeline,2,1,2,11,0,0
DigitalBiomarkerDiscoveryPipeline,3,1,3,11,0,0
DigitalBiomarkerDiscoveryPipeline,4,1,4,6,0,1
DigitalBiomarkerDiscoveryPipeline,5,1,5,17,2,1
DigitalBiomarkerDiscoveryPipeline,6,1,6,12,4,1
Enraged-Rabbit-Community,-6,0,0,0,0,0
Enraged-Rabbit-Community,-5,0,0,0,0,0
Enraged-Rabbit-Community,-4,0,0,0,0,0
Enraged-Rabbit-Community,-3,0,0,0,0,0
Enraged-Rabbit-Community,-2,0,0,4,0,0
Enraged-Rabbit-Community,-1,0,0,10,0,0
Enraged-Rabbit-Community,0,1,0,0,5,4
Enraged-Rabbit-Community,1,1,1,0,2,6
Enraged-Rabbit-Community,2,1,2,0,0,4
Enraged-Rabbit-Community,3,1,3,0,6,5
Enraged-Rabbit-Community,4,1,4,18,1,3
Enraged-Rabbit-Community,5,1,5,7,5,2
Enraged-Rabbit-Community,6,1,6,20,2,3
FedML-AI,-6,0,0,0,0,0
FedML-AI,-5,0,0,0,0,0
FedML-AI,-4,0,0,0,0,0
FedML-AI,-3,0,0,0,0,0
FedML-AI,-2,0,0,3,0,0
FedML-AI,-1,0,0,6,0,0
FedML-AI,0,1,0,2,0,1
FedML-AI,1,1,1,0,1,1
FedML-AI,2,1,2,21,0,0
FedML-AI,3,1,3,2,0,0
FedML-AI,4,1,4,12,0,1
FedML-AI,5,1,5,7,3,2
FedML-AI,6,1,6,3,1,2
FiguraMC,-6,0,0,0,0,0
FiguraMC,-5,0,0,1,0,0
