slug,index,Intervention,Time_after_intervention,discussions_count,comments,amounts
apiflask,-6,0,0,0,0,0
apiflask,-5,0,0,0,0,0
apiflask,-4,0,0,0,0,0
apiflask,-3,0,0,0,0,0
apiflask,-2,0,0,2,0,0
apiflask,-1,0,0,0,0,0
apiflask,0,1,0,0,1,1
apiflask,1,1,1,1,4,1
apiflask,2,1,2,0,0,0
apiflask,3,1,3,0,0,0
apiflask,4,1,4,4,0,0
apiflask,5,1,5,1,0,0
apiflask,6,1,6,1,0,0
boardgameio,-6,0,0,2,0,0
boardgameio,-5,0,0,1,0,0
boardgameio,-4,0,0,0,0,0
boardgameio,-3,0,0,1,0,0
boardgameio,-2,0,0,3,0,0
boardgameio,-1,0,0,0,0,0
boardgameio,0,1,0,1,27,3
boardgameio,1,1,1,1,0,1
boardgameio,2,1,2,0,0,0
boardgameio,3,1,3,1,0,0
boardgameio,4,1,4,0,0,0
boardgameio,5,1,5,1,0,0
boardgameio,6,1,6,0,0,0
commitizen-tools,-6,0,0,4,0,0
commitizen-tools,-5,0,0,1,0,0
commitizen-tools,-4,0,0,1,0,0
commitizen-tools,-3,0,0,1,0,0
commitizen-tools,-2,0,0,1,0,0
commitizen-tools,-1,0,0,0,0,0
commitizen-tools,0,1,0,0,7,2
commitizen-tools,1,1,1,0,12,3
commitizen-tools,2,1,2,0,6,3
commitizen-tools,3,1,3,2,14,6
commitizen-tools,4,1,4,0,5,4
commitizen-tools,5,1,5,1,0,2
commitizen-tools,6,1,6,0,11,10
dbgate,-6,0,0,3,0,0
dbgate,-5,0,0,3,0,0
dbgate,-4,0,0,0,0,0
dbgate,-3,0,0,4,0,0
dbgate,-2,0,0,1,0,0
dbgate,-1,0,0,0,0,0
dbgate,0,1,0,1,0,1
dbgate,1,1,1,4,22,10
dbgate,2,1,2,6,10,19
dbgate,3,1,3,0,0,0
dbgate,4,1,4,1,0,0
dbgate,5,1,5,1,0,0
dbgate,6,1,6,0,0,0
doocs,-6,0,0,0,0,0
doocs,-5,0,0,0,0,0
doocs,-4,0,0,0,0,0
doocs,-3,0,0,0,0,0
doocs,-2,0,0,0,0,0
doocs,-1,0,0,0,0,0
doocs,0,1,0,2,0,1
doocs,1,1,1,0,0,0
doocs,2,1,2,1,0,0
doocs,3,1,3,0,0,0
doocs,4,1,4,3,401,1
doocs,5,1,5,1,2,1
doocs,6,1,6,0,0,0
element-plus,-6,0,0,0,0,0
element-plus,-5,0,0,0,0,0
element-plus,-4,0,0,2,0,0
element-plus,-3,0,0,0,0,0
element-plus,-2,0,0,0,0,0
element-plus,-1,0,0,0,0,0
element-plus,0,1,0,13,2,1
element-plus,1,1,1,6,20,1
element-plus,2,1,2,3,3,1
element-plus,3,1,3,6,7,2
element-plus,4,1,4,0,9,3
element-plus,5,1,5,0,0,0
element-plus,6,1,6,0,0,0
fullstackhero,-6,0,0,0,0,0
fullstackhero,-5,0,0,2,0,0
fullstackhero,-4,0,0,8,0,0
