slug,index,Intervention,Time_after_intervention,pulls_count,comments,amounts
100devs,-6,0,0,2,0,0
100devs,-5,0,0,1,0,0
100devs,-4,0,0,3,0,0
100devs,-3,0,0,1,0,0
100devs,-2,0,0,0,0,0
100devs,-1,0,0,1,0,0
100devs,0,1,0,1,0,1
100devs,1,1,1,61,14,60
100devs,2,1,2,1,1,1
100devs,3,1,3,20,0,20
100devs,4,1,4,1,0,1
100devs,5,1,5,1,4,6
100devs,6,1,6,0,0,0
accounts-js,-6,0,0,0,0,0
accounts-js,-5,0,0,0,0,0
accounts-js,-4,0,0,0,0,0
accounts-js,-3,0,0,0,0,0
accounts-js,-2,0,0,2,0,0
accounts-js,-1,0,0,2,0,0
accounts-js,0,1,0,1,18,1
accounts-js,1,1,1,0,0,0
accounts-js,2,1,2,0,0,0
accounts-js,3,1,3,0,6,1
accounts-js,4,1,4,1,1,1
accounts-js,5,1,5,0,0,1
accounts-js,6,1,6,0,10,2
allthingslinux,-6,0,0,0,0,0
allthingslinux,-5,0,0,0,0,0
allthingslinux,-4,0,0,0,0,0
allthingslinux,-3,0,0,0,0,0
allthingslinux,-2,0,0,0,0,0
allthingslinux,-1,0,0,0,0,0
allthingslinux,0,1,0,1,0,1
allthingslinux,1,1,1,3,0,3
allthingslinux,2,1,2,4,0,4
allthingslinux,3,1,3,0,0,0
allthingslinux,4,1,4,1,6,7
allthingslinux,5,1,5,1,11,9
allthingslinux,6,1,6,0,5,5
assimp,-6,0,0,1,0,0
assimp,-5,0,0,1,0,0
assimp,-4,0,0,1,0,0
assimp,-3,0,0,0,0,0
assimp,-2,0,0,2,0,0
assimp,-1,0,0,1,0,0
assimp,0,1,0,0,7,3
assimp,1,1,1,1,10,9
assimp,2,1,2,1,12,17
assimp,3,1,3,2,1,1
assimp,4,1,4,3,0,0
assimp,5,1,5,13,0,0
assimp,6,1,6,0,0,0
async-rs,-6,0,0,0,0,0
async-rs,-5,0,0,0,0,0
async-rs,-4,0,0,0,0,0
async-rs,-3,0,0,0,0,0
async-rs,-2,0,0,0,0,0
async-rs,-1,0,0,0,0,0
async-rs,0,1,0,0,1,1
async-rs,1,1,1,1,4,5
async-rs,2,1,2,0,4,4
async-rs,3,1,3,3,8,2
async-rs,4,1,4,4,0,0
async-rs,5,1,5,0,3,1
async-rs,6,1,6,0,0,0
bagisto,-6,0,0,0,0,0
bagisto,-5,0,0,0,0,0
bagisto,-4,0,0,0,0,0
bagisto,-3,0,0,1,0,0
bagisto,-2,0,0,0,0,0
bagisto,-1,0,0,0,0,0
bagisto,0,1,0,0,2,5
bagisto,1,1,1,0,0,7
bagisto,2,1,2,0,7,18
bagisto,3,1,3,1,0,0
bagisto,4,1,4,1,0,0
bagisto,5,1,5,8,0,0
bagisto,6,1,6,0,0,0
bokeh,-6,0,0,1,0,0
bokeh,-5,0,0,1,0,0
bokeh,-4,0,0,3,0,0
bokeh,-3,0,0,1,0,0
bokeh,-2,0,0,2,0,0
bokeh,-1,0,0,2,0,0
bokeh,0,1,0,3,0,2
bokeh,1,1,1,2,29,28
bokeh,2,1,2,7,0,0
bokeh,3,1,3,5,0,0
bokeh,4,1,4,7,0,0
bokeh,5,1,5,4,0,0
bokeh,6,1,6,2,0,0
buape,-6,0,0,1,0,0
buape,-5,0,0,1,0,0
buape,-4,0,0,1,0,0
buape,-3,0,0,0,0,0
buape,-2,0,0,1,0,0
buape,-1,0,0,0,0,0
