slug,index,Intervention,Time_after_intervention,releases_count,comments,amounts
abelljs,-6,0,0,0,0,0
abelljs,-5,0,0,0,0,0
abelljs,-4,0,0,0,0,0
abelljs,-3,0,0,0,0,0
abelljs,-2,0,0,0,0,0
abelljs,-1,0,0,0,0,0
abelljs,0,1,0,7,19,2
abelljs,1,1,1,1,12,1
abelljs,2,1,2,1,0,0
abelljs,3,1,3,1,28,6
abelljs,4,1,4,3,8,3
abelljs,5,1,5,7,0,0
abelljs,6,1,6,2,1,1
aspect-build,-6,0,0,0,0,0
aspect-build,-5,0,0,0,0,0
aspect-build,-4,0,0,1,0,0
aspect-build,-3,0,0,0,0,0
aspect-build,-2,0,0,1,0,0
aspect-build,-1,0,0,0,0,0
aspect-build,0,1,0,3,0,1
aspect-build,1,1,1,1,5,1
aspect-build,2,1,2,0,0,0
aspect-build,3,1,3,0,0,0
aspect-build,4,1,4,1,0,0
aspect-build,5,1,5,7,0,0
aspect-build,6,1,6,11,2,5
async-rs,-6,0,0,0,0,0
async-rs,-5,0,0,0,0,0
async-rs,-4,0,0,0,0,0
async-rs,-3,0,0,0,0,0
async-rs,-2,0,0,0,0,0
async-rs,-1,0,0,0,0,0
async-rs,0,1,0,0,1,1
async-rs,1,1,1,0,4,5
async-rs,2,1,2,4,4,4
async-rs,3,1,3,3,8,2
async-rs,4,1,4,5,0,0
async-rs,5,1,5,2,3,1
async-rs,6,1,6,0,0,0
azerothcore,-6,0,0,1,0,0
azerothcore,-5,0,0,0,0,0
azerothcore,-4,0,0,0,0,0
azerothcore,-3,0,0,0,0,0
azerothcore,-2,0,0,1,0,0
azerothcore,-1,0,0,0,0,0
azerothcore,0,1,0,4,2,1
azerothcore,1,1,1,0,0,0
azerothcore,2,1,2,0,0,0
azerothcore,3,1,3,3,0,0
azerothcore,4,1,4,1,0,0
azerothcore,5,1,5,1,0,0
azerothcore,6,1,6,0,0,0
boot-clj,-6,0,0,3,0,0
boot-clj,-5,0,0,1,0,0
boot-clj,-4,0,0,2,0,0
boot-clj,-3,0,0,0,0,0
boot-clj,-2,0,0,0,0,0
boot-clj,-1,0,0,1,0,0
boot-clj,0,1,0,1,11,1
boot-clj,1,1,1,4,0,0
boot-clj,2,1,2,0,8,1
boot-clj,3,1,3,10,0,0
boot-clj,4,1,4,6,5,1
boot-clj,5,1,5,3,0,0
boot-clj,6,1,6,2,0,2
