Slug,Base,Month,Sponsor_Count,Sponsor_Count(Count),commit,issue,spend,Intervention,Time_after_intervention,Commit_log,Issue_log,Spend_log
inure,Feb-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
mobx-react-form,Jul-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
mongoke,Aug-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
komapper,Feb-23,-6,0,0.0,23,0,0,0,0,3.157000421150113,-0.6931471805599453,-0.6931471805599453
emacs-jupyter,Oct-23,-6,0,0.0,0,2,0,0,0,-0.6931471805599453,0.9162907318741552,-0.6931471805599453
cadmium,Apr-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
cloudflare-dyns,Jun-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
biome,Aug-23,-6,0,0.0,57,0,0,0,0,4.051784947803305,-0.6931471805599453,-0.6931471805599453
phoenix-ide,Jul-23,-6,0,0.0,189,18,0,0,0,5.244389024522481,2.917770732084279,-0.6931471805599453
react95,Apr-23,-6,0,0.0,1,0,0,0,0,0.4054651081081644,-0.6931471805599453,-0.6931471805599453
graphql-voyager,Jul-23,-6,0,0.0,2,1,0,0,0,0.9162907318741552,0.4054651081081644,-0.6931471805599453
overte,Mar-23,-6,0,0.0,43,10,0,0,0,3.7727609380946383,2.3513752571634776,-0.6931471805599453
sceneview,Oct-23,-6,0,0.0,11,0,0,0,0,2.4423470353692043,-0.6931471805599453,-0.6931471805599453
amogos,Jun-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
timber,Feb-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
redom,Dec-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
lucide-icons,Apr-23,-6,0,0.0,32,0,0,0,0,3.481240089335692,-0.6931471805599453,-0.6931471805599453
farstar,Sep-23,-6,0,0.0,1,0,0,0,0,0.4054651081081644,-0.6931471805599453,-0.6931471805599453
rottingresearch,May-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
sinytra,Jan-24,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
kea,Aug-23,-6,0,0.0,2,0,0,0,0,0.9162907318741552,-0.6931471805599453,-0.6931471805599453
puppeteer-screen-recorder,Nov-23,-6,0,0.0,3,1,0,0,0,1.252762968495368,0.4054651081081644,-0.6931471805599453
scuffle,Feb-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
figura,Jul-23,-6,0,0.0,87,0,0,0,0,4.471638793363569,-0.6931471805599453,-0.6931471805599453
malluscript,Oct-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
clio,Sep-23,-6,0,0.0,0,2,0,0,0,-0.6931471805599453,0.9162907318741552,-0.6931471805599453
ohmyform-sustainability,Mar-23,-6,0,0.0,0,1,0,0,0,-0.6931471805599453,0.4054651081081644,-0.6931471805599453
x-spreadsheet,Aug-23,-6,0,0.0,0,3,0,0,0,-0.6931471805599453,1.252762968495368,-0.6931471805599453
diabot,Apr-23,-6,0,0.0,123,1,0,0,0,4.816241156068032,0.4054651081081644,-0.6931471805599453
librepcb,Aug-23,-6,0,0.0,0,0,1,0,0,-0.6931471805599453,-0.6931471805599453,0.4054651081081644
chatmosphere,Sep-23,-6,0,0.0,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
