Slug,Base,Month,commit,issue,spend,Intervention,Time_after_intervention,Commit_log,Issue_log,Spend_log
aflpluspluseu,2024-02,-6,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
aflpluspluseu,2024-02,-5,0,1,0,0,0,-0.6931471805599453,0.4054651081081644,-0.6931471805599453
aflpluspluseu,2024-02,-4,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
aflpluspluseu,2024-02,-3,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
aflpluspluseu,2024-02,-2,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
aflpluspluseu,2024-02,-1,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
aflpluspluseu,2024-02,0,0,0,2,1,0,-0.6931471805599453,-0.6931471805599453,0.9162907318741551
aflpluspluseu,2024-02,1,0,0,0,1,1,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
aflpluspluseu,2024-02,2,0,0,0,1,2,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
aflpluspluseu,2024-02,3,0,0,0,1,3,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
aflpluspluseu,2024-02,4,0,1,2,1,4,-0.6931471805599453,0.4054651081081644,0.9162907318741551
aflpluspluseu,2024-02,5,0,0,0,1,5,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
aflpluspluseu,2024-02,6,0,1,0,1,6,-0.6931471805599453,0.4054651081081644,-0.6931471805599453
amogos,2023-06,-6,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
amogos,2023-06,-5,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
amogos,2023-06,-4,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
amogos,2023-06,-3,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
amogos,2023-06,-2,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
amogos,2023-06,-1,0,0,0,0,0,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
amogos,2023-06,0,0,0,1,1,0,-0.6931471805599453,-0.6931471805599453,0.4054651081081644
amogos,2023-06,1,1,0,0,1,1,0.4054651081081644,-0.6931471805599453,-0.6931471805599453
amogos,2023-06,2,4,4,0,1,2,1.5040773967762742,1.5040773967762742,-0.6931471805599453
amogos,2023-06,3,0,0,0,1,3,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
amogos,2023-06,4,1,0,0,1,4,0.4054651081081644,-0.6931471805599453,-0.6931471805599453
amogos,2023-06,5,0,0,0,1,5,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453
